ROWNUM;CHANGEID;IFABANDONED;LOC;NUMVERSIONS
350;1004170;0;4;1
351;1004172;0;0;1
352;1004173;1;0;1
353;1004199;0;2;1
354;1004219;1;0;1
355;1004220;0;0;1
356;1004241;0;35;5
357;1004251;0;0;1
358;1004268;0;0;1
359;1004398;1;2;2
360;1004400;0;0;1
361;1004408;0;4;1
362;1004415;0;0;1
363;1004416;0;6;1
364;1004418;0;69;2
365;1004465;0;22;1
366;1004497;0;0;1
367;1004500;0;53;1
368;1004505;0;64;2
369;1004514;0;12;5
370;1004524;0;16;8
371;1004526;0;5;2
372;1004529;0;411;15
373;1004549;0;8;2
374;1004561;0;27;1
375;1004563;0;127;1
376;1004618;0;95;1
377;1004634;0;0;1
378;1004699;1;2;1
379;1004700;0;212;1
380;1004706;0;231;1
381;1004713;0;2;1
382;1004727;0;2;2
383;1004739;0;1,033;2
384;1004747;0;7;2
385;1004749;0;95;1
386;1004781;0;143;3
387;1004804;0;248;6
388;1004810;0;10;1
389;1004830;0;201;2
390;1004836;0;36;2
391;1004853;0;3;2
392;1004857;0;16;2
393;1004859;0;5;1
394;1004880;0;12;1
395;1004894;0;5;2
396;1004899;0;3,107;9
397;1004919;1;1,437;2
398;1004924;0;102;1
399;1004932;0;2;1
400;1004946;0;1,598;1
401;1004966;0;16;4
