subBranch,Date,category,mergeSum,finalMerge
workstream_dmem,Jul 30, 2015,t,123,0
workstream_kpicharts,Jul 30, 2015,t,0,0
workstream_lumira,Jul 30, 2015,t,0,0
workstream_modeling,Jul 30, 2015,t,0,0
workstream_dmem,Jul 31, 2015,t,0,0
workstream_infrastructure,Jul 31, 2015,t,0,0
workstream_lumira,Jul 31, 2015,t,4,0
workstream_modeling,Jul 31, 2015,t,0,0
vertical/allocation,Aug 1, 2015,t,0,0
workstream_dmem,Aug 1, 2015,t,0,0
workstream_dmem,Aug 2, 2015,t,0,0
vertical/allocation,Aug 3, 2015,t,0,0
workstream_dmem,Aug 3, 2015,t,0,0
workstream_lumira,Aug 3, 2015,t,0,0
workstream_modeling,Aug 3, 2015,t,0,0
vertical/allocation,Aug 4, 2015,t,0,0
workstream_apdkpi,Aug 4, 2015,t,34,0
workstream_infrastructure,Aug 4, 2015,t,12,0
workstream_lumira,Aug 4, 2015,t,0,0
vertical/allocation,Aug 5, 2015,t,0,0
workstream_infrastructure,Aug 5, 2015,t,0,0
workstream_lumira,Aug 5, 2015,t,0,0
workstream_modeling,Aug 5, 2015,t,0,0
workstream_ux,Aug 5, 2015,t,0,0
vertical/allocation,Aug 6, 2015,t,8,8
workstream_apdkpi,Aug 6, 2015,t,0,0
workstream_dmem,Aug 6, 2015,t,0,0
workstream_infrastructure,Aug 6, 2015,t,0,0
workstream_lumira,Aug 6, 2015,t,0,0
workstream_modeling,Aug 6, 2015,t,0,0
vertical/allocation,Aug 7, 2015,t,0,0
workstream_infrastructure,Aug 7, 2015,t,0,0
workstream_modeling,Aug 7, 2015,t,0,0
workstream_ux,Aug 7, 2015,t,0,0
workstream_dmem,Aug 9, 2015,t,0,0
workstream_infrastructure,Aug 9, 2015,t,0,0
vertical/allocation,Aug 10, 2015,t,0,0
workstream_apdkpi,Aug 10, 2015,t,0,0
workstream_dmem,Aug 10, 2015,t,0,0
workstream_infrastructure,Aug 10, 2015,t,0,0
workstream_lumira,Aug 10, 2015,t,10,0
workstream_modeling,Aug 10, 2015,t,0,0
vertical/allocation,Aug 11, 2015,t,0,0
workstream_apdkpi,Aug 11, 2015,t,22,0
workstream_infrastructure,Aug 11, 2015,t,0,0
workstream_lumira,Aug 11, 2015,t,19,0
workstream_modeling,Aug 11, 2015,t,0,0
vertical/allocation,Aug 12, 2015,t,0,0
workstream_apdkpi,Aug 12, 2015,t,0,0
workstream_dmem,Aug 12, 2015,t,92,0
workstream_lumira,Aug 12, 2015,t,0,0
vertical/allocation,Aug 13, 2015,t,0,0
workstream_apdkpi,Aug 13, 2015,t,15,13
workstream_infrastructure,Aug 13, 2015,t,26,26
workstream_lumira,Aug 13, 2015,t,0,0
workstream_modeling,Aug 13, 2015,t,0,0
vertical/allocation,Aug 14, 2015,t,0,0
workstream_apdkpi,Aug 14, 2015,t,0,0
workstream_infrastructure,Aug 14, 2015,t,0,0
workstream_lumira,Aug 14, 2015,t,4,0
workstream_modeling,Aug 14, 2015,t,0,0
