subBranch;commitId;category;days;mergeSize;date;rate
poc/event_proc;1044544;t;1;220;Jul 19, 2015;220
workstream_ux;746828;b;1;220;Dec 19, 2014;220
poc/google-drive;1204742;t;3;219;Sep 25, 2015;73
vertical/allocation;1010302;t;1;219;Jul 2, 2015;219
projectStructureChange;529987;b;1;219;Jun 24, 2014;219
integration;490539;b;1;219;May 20, 2014;219
workstream_collaboration;1165691;t;1;219;Sep 6, 2015;219
poc/boardroom_svb;1214464;t;1;219;Oct 1, 2015;219
vertical/allocation;963343;t;1;218;Jun 2, 2015;218
workstream_collaboration;1196551;t;1;218;Sep 22, 2015;218
poc/boardroom_redefined;1012147;t;1;218;Jul 2, 2015;218
workstream_collaboration;1107253;t;1;217;Aug 17, 2015;217
vertical/boardroom;1175774;t;2;217;Sep 11, 2015;108.5
poc/boardroom_redefined;992282;t;3;217;Jun 21, 2015;72.333333
poc/boardroom_svb;1221754;t;1;216;Oct 6, 2015;216
workstream_apd;712988;b;2;216;Nov 26, 2014;108
vertical/devinfra;1023142;t;1;215;Jul 8, 2015;215
workstream_collaboration;1234269;t;2;215;Oct 13, 2015;107.5
workstream_collaboration;1231138;t;1;214;Oct 12, 2015;214
vertical/allocation;1113029;t;2;213;Aug 7, 2015;106.5
vertical/boardroom;1265934;t;1;212;Oct 29, 2015;212
poc/da;1166659;t;1;212;Sep 7, 2015;212
vertical/allocation;982356;t;2;212;Jun 16, 2015;106
vertical/allocation;1192273;t;1;211;Sep 21, 2015;211
vertical/allocation;1256169;t;1;211;Oct 25, 2015;211
vertical/licensing;1263623;t;1;210;Oct 28, 2015;210
vertical/licensing;1261439;t;1;210;Oct 27, 2015;210
integration;500942;b;1;210;May 27, 2014;210
poc/google-drive;1196303;t;2;208;Sep 22, 2015;104
workstream_ux;1099002;t;3;208;Jul 30, 2015;69.333333
vertical/licensing;1268466;t;1;207;Oct 30, 2015;207
vertical/allocation;1191158;t;3;207;Sep 20, 2015;69
vertical/allocation;1187771;t;1;207;Sep 17, 2015;207
poc/geospatial;994908;t;1;206;Jun 22, 2015;206
poc/multi_datasets;1169073;t;7;206;Sep 8, 2015;29.428571
workstream_collaboration;1206646;t;1;205;Sep 28, 2015;205
workstream_collaboration;1181170;t;1;205;Sep 14, 2015;205
vertical/boardroom;1185208;t;1;204;Sep 16, 2015;204
vertical/allocation;1126120;t;1;204;Aug 14, 2015;204
vertical/boardroom;1253279;t;1;203;Oct 22, 2015;203
integration;503780;b;1;203;May 29, 2014;203
vertical/boardroom;1211922;t;1;201;Sep 30, 2015;201
poc/boardroom_redefined;1021394;t;2;201;Jul 8, 2015;100.5
vertical/unified_filter;1269009;t;3;201;Nov 1, 2015;67
integration;503847;b;1;201;May 29, 2014;201
collaboration;711023;b;2;199;Nov 25, 2014;99.5
vertical/allocation;1031520;t;1;199;Jul 14, 2015;199
vertical/allocation;950765;t;2;198;May 22, 2015;99
poc/rptfcst;1016400;t;6;198;Jul 6, 2015;33
