CHANGEID,MERGESIZE
1145515,0
1145145,0
1144371,0
1144317,0
1144217,0
1144169,0
1144102,0
1146025,0
1143519,0
1143776,0
1143506,0
1140587,2
1147229,2
1151097,0
1151502,0
567459,2
750757,0
750754,0
750749,0
750752,0
750683,2
750687,0
750504,0
750494,0
750486,0
750441,2
750474,2
750438,0
749833,0
749815,0
749710,0
749691,0
749649,2
749634,0
749167,0
748851,2
748699,0
748000,0
748617,0
748308,0
748314,0
747935,0
748194,0
748106,0
747596,0
747483,0
790843,0
790707,0
790679,0
789444,0
789148,0
787779,0
787578,0
787279,0
786371,0
786138,0
786053,0
785575,0
785564,0
785448,0
784923,0
784909,0
784516,0
784381,0
784382,0
784363,0
784362,0
784091,0
784179,0
783819,0
866170,0
783751,0
783631,0
865145,0
783379,0
783396,0
783370,0
783301,0
783282,0
783266,0
864481,0
783275,0
783263,0
783223,0
864265,0
783259,0
863952,29
783256,0
783253,0
783228,0
783220,0
783225,0
864434,0
783215,0
783183,0
783209,0
783145,0
783150,0
783189,0
783149,0
783146,0
783144,0
783121,0
783101,0
863476,0
783064,0
832302,0
831604,0
831517,0
831387,0
831139,0
831141,0
863852,536,172
831107,0
831089,0
831080,0
831078,0
830119,0
830986,0
830851,0
829867,0
829898,0
966810,1,576
980803,15
999960,15
980833,593,381
983415,4
983902,1,235
985075,4
985265,122
986122,20
986104,2,116
986351,5
979678,48
986967,17
979886,227
989823,633
990462,1,825
991181,66
992128,1,766
972395,1,396
973665,4
970616,49
969799,86
968747,35
968338,129
967491,1,076
962713,2,744
964669,6
962708,6
997186,61
997388,30
997294,3,936
998631,10
998693,25
998978,1,160
1000504,116
1002785,60
999780,35
1002119,7
1002732,14
984685,2,757
970083,7,557
974126,49
1003973,15,656
1003956,123
1005866,321,945
1004561,27
1007840,8
1008327,9
1008638,6,092
1008651,11
1008993,2,162
1010385,32
1011316,15
1011169,93
1012200,96
1013389,35
1013462,81
1012753,4,315
1015596,8
1016183,8
1017015,14
